File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
3,a488,4,715.714,349.987,24.135,2.089,2.68,12.406,1.825,0
3,a488,4,626.724,377.855,25.185,2.076,2.726,30.56,1.628,1
3,a488,4,740.206,359.581,23.753,1.401,3.154,11.702,1.421,2
3,a488,4,743,355,25,1.256,2.867,7.351,1.334,2
3,a488,4,723.44,377.946,23.109,1.149,2.995,8.32,1.306,2
3,a488,5,358.529,449.247,25.327,4.006,2.841,30.131,1.976,2
3,a488,6,434.056,433.546,24.041,3.745,2.46,17.285,1.963,2
3,a488,6,437.558,489.368,25.459,3.278,2.949,16.638,1.744,1
3,a488,6,430.274,432.845,24.045,1.641,2.864,1.352,1.374,2
3,a488,7,340.613,492.711,24.367,3.183,2.722,11.566,1.678,1
3,a488,7,331,504,23,1.352,2.588,17.531,1.344,1
3,a488,7,294,582,24,1.299,2.6,14.412,1.247,0
3,a488,7,320.885,575.728,21.843,1.262,2.61,14.717,1.33,2
3,a488,7,315.768,519.642,25.845,1.261,2.455,12.184,1.327,0
3,a488,8,390.84,514.164,27.887,1.968,3.713,28.047,1.452,2
3,a488,8,484.175,525.461,22.725,1.816,2.862,5.854,1.43,1
3,a488,8,456.086,518.587,24.758,1.375,2.262,10.536,1.358,0
3,a488,8,389.485,534.164,28.421,1.081,2.374,10.276,1.329,0
3,a488,8,484.734,530.215,22.311,1.028,1.976,5.466,1.321,1
3,a488,9,150.939,567.966,24.711,1.229,2.782,11.033,1.335,1
3,a488,10,701,559,24,1.385,4.028,9.851,1.419,1
3,a488,10,816,620,25,1.38,2.88,6.876,1.329,2
3,a488,10,735.377,554.577,25.688,1.357,3.181,12.912,1.428,0
3,a488,10,814.41,600.801,23.376,1.021,2.639,18.434,1.28,2
3,a488,11,554.378,673.067,21.257,2.375,2.868,14.515,1.779,2
3,a488,11,654.44,585.603,23.191,1.32,3.676,11.933,1.342,1
3,a488,11,581.035,643.205,20.43,1.274,2.522,8.284,1.363,0
3,a488,11,558.287,665.929,23.356,1.18,2.409,15.85,1.421,2
3,a488,13,869.816,650.614,23.996,5.326,2.838,16.967,2.678,2
3,a488,13,919.891,716.297,25.264,3.056,2.405,59.832,2.184,1
3,a488,13,892.051,659.886,21.578,2.024,2.471,18.788,1.711,0
3,a488,13,916.524,701.151,24.735,1.049,2.279,16.447,1.375,1
3,a488,14,259.671,728.069,24.394,1.931,2.878,10.424,1.448,2
3,a488,14,318.883,736.556,22.458,1.922,3.559,13.976,1.556,1
3,a488,14,282,716,21,1.264,2.312,5.958,1.365,2
3,a488,14,311.129,735.172,25.348,1.257,3.199,16.921,1.427,1
3,a488,15,550.604,908.759,27.786,2.555,2.729,23.045,1.799,1
3,a488,15,455.988,896.592,23.157,1.315,2.399,11.38,1.478,2
3,a488,15,434.227,885.133,26.225,1.284,2.428,11.188,1.441,2
3,a488,15,522.243,898.736,28.115,1.221,2.8,9.491,1.424,0
3,a488,15,431.577,882.388,25.504,1.211,2.58,2.192,1.267,2
3,a488,15,429.343,891.9,25.286,1.083,2.222,9.705,1.327,2
3,a594,1,720.13,223.92,24.665,5.312,2.89,31.205,5.457,1
3,a594,1,713.014,194.733,22.246,4.392,2.781,32.6,5.353,2
3,a594,2,65.212,255.484,21.717,4.114,2.512,70.944,3.817,2
3,a594,2,106.326,233.378,23.166,3.078,2.518,23.587,3.07,1
3,a594,3,54.714,414.599,28.685,5.826,2.573,28.065,5.007,2
3,a594,3,51.996,407.069,29.075,4.434,2.621,19.39,4.641,2
3,a594,4,645.138,371.682,24.524,6.418,2.628,106.604,6.089,1
3,a594,4,639.709,384.104,25.833,2.87,2.771,14.165,3.15,1
3,a594,4,736.95,366.432,23.814,2.694,2.707,26.018,2.842,2
3,a594,5,359.906,433.776,24.685,8.78,2.575,32.902,6.861,1
3,a594,5,365.193,445.022,22.388,5.447,3.091,27.051,4.035,2
3,a594,5,354.528,429.639,25.662,5.151,2.519,4.299,3.878,1
3,a594,5,359.369,440.518,21.93,5.11,2.681,12.771,3.954,1
3,a594,5,364.73,441.133,25.394,3.821,3.003,36.628,3.588,2
3,a594,6,444.149,485.058,25.123,9.022,2.697,7.99,6.839,1
3,a594,6,434.238,434.842,23.633,4.878,2.543,35.221,3.972,2
3,a594,6,447.615,481.117,24.224,4.34,2.718,12.943,3.921,1
3,a594,6,443.515,490.018,24.814,3.558,2.705,1.518,3.194,1
3,a594,7,342.203,514.197,23.242,6.662,2.595,12.406,5.61,1
3,a594,7,324.687,567.778,21.701,5.522,3.04,53.503,4.028,2
3,a594,7,343.378,510.985,23.197,5.197,2.64,15.592,4.579,1
3,a594,8,397.006,512.229,26.297,5.706,2.869,61.787,3.973,2
3,a594,8,471.705,517.932,24.915,4.494,2.683,41.599,3.883,1
3,a594,8,396.778,504.007,26.678,4.444,2.503,26.147,3.775,2
3,a594,8,486.662,523.89,25.188,3.911,3.04,23.945,2.978,1
3,a594,9,153.209,573.516,25.985,3.212,2.692,11.822,3.196,1
3,a594,9,141.203,586.574,22.868,2.879,2.749,22.994,2.701,1
3,a594,10,703.219,563.666,25.392,9.321,2.95,42.072,7.888,1
3,a594,10,705.051,553.999,25.419,5.121,2.417,22.884,4.792,1
3,a594,10,792.912,609.598,23.507,3.401,2.782,29.496,3.464,2
3,a594,11,657.591,588.299,23.22,7.654,3.092,80.486,6.24,1
3,a594,11,566.744,666.506,23.505,5.982,2.575,47.113,5.475,2
3,a594,11,551.325,671.895,23.162,3.806,2.557,26.62,3.739,2
3,a594,12,64.373,696.724,25.397,6.851,2.887,92.765,4.84,1
3,a594,12,29.222,696.499,20.438,4.243,2.744,34.59,3.303,2
3,a594,12,44.039,689.464,26.345,3.862,3.136,5.078,3.569,2
3,a594,12,46.875,692.024,26.154,3.099,2.88,6.121,3.507,2
3,a594,13,913.737,717.337,24.176,7.567,2.931,64.134,7.117,1
3,a594,13,849.806,698.911,22.271,4.342,2.835,95.533,4.293,0
3,a594,13,867.264,657.409,23.082,2.883,2.834,14.837,3.387,2
3,a594,14,327.312,737.742,24.352,7.077,2.584,22.981,4.774,1
3,a594,14,260.651,730.29,28.232,3.584,2.833,24.626,2.931,2
3,a594,15,547.57,898.796,26.637,8.438,3.212,54.374,6.823,1
3,a594,15,451.195,880.968,23.776,5.077,2.47,40.196,4.999,2
3,a594,15,460.283,892.04,24.926,4.227,2.575,40.786,4.521,2
3,a594,15,440.193,881.635,25.725,3.865,2.984,24.52,3.681,2
3,tmr,1,721.645,215.294,23.619,3.051,2.972,24.733,3.267,1
3,tmr,1,705.439,184.884,24.111,2.803,2.858,37.049,2.987,2
3,tmr,2,114.644,234.278,23.582,3.494,3.177,52.261,3.227,1
3,tmr,2,80.593,236.313,22.433,3.182,2.595,45.005,3.18,2
3,tmr,2,104.972,239.806,25.944,1.547,2.65,12.814,2.318,1
3,tmr,3,54.227,394.423,24.505,2.539,2.434,29.602,2.426,1
3,tmr,3,50.042,413.781,28.309,1.531,2.698,27.147,1.985,2
