File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,a488,8,688.044,547.647,22.636,1.16,2.353,12.668,1.605,0
1,a488,8,697.393,548.256,23.265,1.117,2.492,21.846,1.509,0
1,a488,8,707.329,544.561,22.86,1.034,2.81,11.617,1.407,0
1,a488,9,329.753,576.286,28.245,2.149,3.264,24.737,2.271,1
1,a488,9,283.644,578.207,25.112,1.368,2.91,10.347,1.529,2
1,a488,9,289.2,593.644,22.916,1.379,2.463,13.894,1.624,2
1,a488,10,109.226,592.841,24.315,3.563,3.479,15.747,2.339,2
1,a488,10,182,559,21,1.538,2.813,13.423,1.61,1
1,a488,11,284.696,676.935,24.671,2.414,2.621,22.706,2.268,2
1,a488,11,254.726,647.207,22.137,1.924,3.594,16.131,1.824,1
1,a488,12,458.218,811.222,27.312,1.166,2.471,15.804,1.374,2
1,a488,12,514.63,702.267,27.171,1.112,2.727,6.614,1.325,1
1,a488,13,267.786,799.558,28.566,2.145,3.03,21.695,2.146,1
1,a488,13,239.191,900.966,26.395,1.664,3.007,18.063,1.719,2
1,a488,14,722.622,790.81,24.655,1.123,4.08,7.84,1.436,2
1,a488,14,733.085,827.447,22.176,0.904,2.783,8.295,1.38,1
1,a488,15,408.236,851.87,23.213,1.774,2.371,10.493,1.881,1
1,a488,15,348.928,874.184,26.542,1.275,2.919,15.109,1.509,2
1,a488,16,579.402,826.995,24.663,3.364,3.383,9.617,2.462,1
1,a488,16,515.699,874.847,21.291,1.78,2.764,26.795,1.773,2
1,a488,17,861.112,932.786,24.656,1.12,3.761,5.698,1.345,1
1,a488,17,794,902,25,0.929,2.916,9.238,1.317,2
1,a488,18,950.624,994.387,23.655,2.934,3.68,38.694,2.557,1
1,a488,18,989.842,955.542,23.327,1.839,2.649,18.461,1.839,2
1,a488,19,196.876,988.81,24.582,1.325,2.685,23.69,1.791,2
1,a488,19,237.658,942.442,23.342,1.074,3.105,8.605,1.416,1
1,a594,1,120.377,39.354,27.208,3.745,2.613,10.654,5.821,2
1,a594,1,125.969,35.711,27.164,3.012,2.879,13.985,5.114,2
1,a594,1,151.948,31.169,23.687,2.457,3.484,32.107,4.01,1
1,a594,1,152.939,45.541,26.04,1.878,2.521,25.805,3.556,1
1,a594,2,796.148,182.749,25.196,8.28,2.782,81.868,12.918,2
1,a594,2,862.92,119.865,22.067,8.063,2.932,102.786,14.726,1
1,a594,3,471.691,168.802,21.51,11.6,2.738,131.449,17.225,2
1,a594,3,551.503,277.285,22.123,4.07,2.87,54.099,6.216,1
1,a594,4,395.524,324.015,22.701,5.597,2.625,83.001,8.78,1
1,a594,4,290.281,281.514,22.84,5.179,2.561,72.905,7.865,2
1,a594,4,398.93,315.542,22.491,2.616,2.666,64.644,4.796,1
1,a594,4,286.013,294.744,22.77,1.939,2.675,31.658,4.056,2
1,a594,5,858.028,407.564,26.936,8.626,2.891,76.062,10.604,3
1,a594,5,884.28,337.911,24.178,3.058,2.545,73.698,5.161,4
1,a594,5,869.089,379.764,26.076,2.741,2.609,44.983,4.649,1
1,a594,5,751.236,337.468,24.078,1.931,2.636,52.429,3.114,2
1,a594,6,242.789,397.767,24.329,4.806,2.858,80.974,5.917,2
1,a594,6,157.553,375.872,23.903,4.432,2.491,96.14,6.367,1
1,a594,6,170.394,370.63,21.978,4.192,2.528,25.749,5.748,1
1,a594,6,234.307,389.355,23.718,3.137,2.665,24.092,4.659,2
1,a594,6,235.095,383.966,21.672,2.742,2.47,17.141,5.165,2
1,a594,7,364.346,471.779,24.388,7.595,3.266,129.691,10.463,1
1,a594,7,395.503,478.674,23.886,3.783,2.52,58.156,5.615,0
1,a594,7,381.808,467.075,26.916,3.617,2.492,103.023,6.9,1
1,a594,7,439.247,469.384,23.224,2.408,2.723,24.34,4.02,2
1,a594,7,425.913,480.391,23.523,1.323,2.445,26.606,2.545,2
1,a594,8,691.642,572.702,21.468,6.242,2.628,139.574,9.092,0
1,a594,8,709.824,560.869,24.543,6.113,2.62,7.391,9.843,0
1,a594,8,710.574,566.444,23.784,5.396,2.479,10.424,7.983,0
1,a594,8,711.081,574.242,23.048,4.507,2.706,39.927,8.03,0
1,a594,8,707.648,545.001,22.739,4.37,2.363,128.998,6.907,0
1,a594,8,706.687,575.198,23.169,2.568,2.47,1.777,5.164,0
1,a594,9,330.804,575.669,28.411,7.31,2.879,64.539,10.392,1
1,a594,9,285.001,577.298,25.325,5.166,2.664,30.579,8.785,2
1,a594,9,290.437,592.539,22.611,2.343,2.43,63.544,3.912,2
1,a594,10,111.644,591.045,24.332,7.48,3.115,88.102,10.342,2
1,a594,10,183.563,557.415,21.103,4.354,2.572,37.355,6.115,1
1,a594,11,286.335,675.47,24.633,8.879,2.735,120.892,11.239,2
1,a594,11,256.619,645.569,21.64,4.715,3.143,24.686,7.703,1
1,a594,12,458.556,809.639,27.255,3.132,2.671,36.623,4.265,2
1,a594,12,514.856,701.791,27.269,2.166,2.825,49.624,3.217,1
1,a594,13,269.174,797.009,28.573,9.542,3.027,148.584,13.499,1
